deal_id,announcement_date,resolution_date,target_name,acquirer_name,deal_value_musd,industry,sector,target_country,acquirer_country,deal_status,payment_method,target_public,acquirer_public,regulatory_review,rumor_or_leak,source_notes,market_volatility_proxy,interest_rate_proxy,deal_completed
DEAL000000,1998-08-03,1999-05-16,Target_000000,Acquirer_003486,682.4,Consumer,Media,Canada,US,completed,cash,private,public,standard,no,synthetic,15.91,6.091759189945131,1
DEAL000001,2011-10-26,2012-06-30,Target_000001,Acquirer_000319,385.0,Energy,Renewables,US,Australia,completed,mixed,private,public,standard,no,synthetic,17.62,3.878668871134757,1
DEAL000002,2011-11-07,2012-07-21,Target_000002,Acquirer_004837,5499.8,Healthcare,Medical Devices,China,UK,completed,cash,public,public,standard,no,synthetic,15.9,3.720207513723504,1
DEAL000003,2018-04-08,2018-10-23,Target_000003,Acquirer_001441,263.8,Consumer,Food & Beverage,Japan,Australia,completed,stock,public,public,standard,yes,synthetic,19.61,2.557137672057733,1
DEAL000004,1997-01-29,1997-07-31,Target_000004,Acquirer_002355,60.4,Technology,Software,US,France,withdrawn,stock,private,public,standard,unknown,synthetic,19.98,5.730509971100625,0
DEAL000005,2019-10-30,2020-07-10,Target_000005,Acquirer_003309,274.1,Technology,Hardware,US,Canada,completed,unknown,private,public,standard,no,synthetic,24.34,2.8647784613739717,1
DEAL000006,2016-10-17,2017-04-19,Target_000006,Acquirer_003481,455.4,Healthcare,Health Services,Germany,Canada,completed,cash,public,public,standard,unknown,synthetic,14.38,2.870920155058239,1
DEAL000007,2009-04-06,2009-08-08,Target_000007,Acquirer_003584,129.7,Healthcare,Health Services,India,US,cancelled,cash,public,public,standard,no,synthetic,22.27,4.483769457418344,0
DEAL000008,2015-03-27,2015-09-09,Target_000008,Acquirer_003249,2447.1,Energy,Oil & Gas,France,US,withdrawn,cash,public,public,extended,no,synthetic,18.89,4.115321156487824,0
DEAL000009,2013-10-05,2014-02-17,Target_000009,Acquirer_002411,24.4,Industrials,Aerospace & Defense,US,Canada,withdrawn,mixed,public,public,standard,no,synthetic,15.53,2.9371814877074764,0
DEAL000010,2006-07-19,2007-01-16,Target_000010,Acquirer_002770,174.5,Consumer,Retail,Australia,US,completed,cash,private,public,standard,no,synthetic,18.61,5.093095804409224,1
DEAL000011,2000-02-05,2000-07-20,Target_000011,Acquirer_004041,,Energy,Renewables,UK,Canada,completed,cash,private,public,standard,no,synthetic,18.81,5.658428880592833,1
DEAL000012,2000-05-24,2000-11-01,Target_000012,Acquirer_004467,281.5,Materials,Chemicals,China,US,completed,stock,public,public,standard,no,synthetic,22.73,6.094302396798398,1
DEAL000013,1996-12-04,1997-05-05,Target_000013,Acquirer_000896,169.1,Technology,Software,Japan,China,cancelled,stock,private,public,standard,no,synthetic,17.01,5.997951253311972,0
